Date_Time,Date,Time,Month,Weekday,Day,Day_in_Year,Week,Weekend,Electric_Use,hour,Season,TOU,TOU_Rate,TOU_Cost,Regular_Rate,Regular_Cost,Mean,Max,Min,Minute,elapsed_time
2016-01-01T14:00:00Z,2016-01-01,14:00:00,Jan,Fri,1,1,1,0,0.579818333,14,Winter,Mid-Peak,0.1043,0.030237526,0.11742,0.034041134,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T14:30:00Z,2016-01-01,14:30:00,Jan,Fri,1,1,1,0,1.846798333,14,Winter,Mid-Peak,0.1043,0.096310533,0.11742,0.10842553,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-01T15:00:00Z,2016-01-01,15:00:00,Jan,Fri,1,1,1,0,1.788463333,15,Winter,Peak,0.22385,0.200173759,0.11742,0.105000682,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T15:30:00Z,2016-01-01,15:30:00,Jan,Fri,1,1,1,0,1.839954444,15,Winter,Peak,0.22385,0.205936901,0.11742,0.108023725,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-01T16:00:00Z,2016-01-01,16:00:00,Jan,Fri,1,1,1,0,1.851250556,16,Winter,Peak,0.22385,0.207201218,0.11742,0.10868692,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T16:30:00Z,2016-01-01,16:30:00,Jan,Fri,1,1,1,0,1.697521111,16,Winter,Peak,0.22385,0.18999505,0.11742,0.099661464,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-01T17:00:00Z,2016-01-01,17:00:00,Jan,Fri,1,1,1,0,1.980523333,17,Winter,Peak,0.22385,0.221670074,0.11742,0.116276525,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T17:30:00Z,2016-01-01,17:30:00,Jan,Fri,1,1,1,0,1.073269444,17,Winter,Peak,0.22385,0.120125683,0.11742,0.063011649,0.791694398,4.120961667,0.193843889,30,0.5
2016-01-01T18:00:00Z,2016-01-01,18:00:00,Jan,Fri,1,1,1,0,0.663961667,18,Winter,Peak,0.22385,0.07431391,0.11742,0.038981189,0.791694398,4.120961667,0.193843889,0,0.5
2016-01-01T18:30:00Z,2016-01-01,18:30:00,Jan,Fri,1,1,1,0,2.089160556,18,Winter,Peak,0.22385,0.233829295,0.11742,0.122654616,0.791694398,4.120961667,0.193843889,30,0.5
