Date_Time,Date,Time,Coal,Gas,Hydro,Nuclear,Other,Wind,Total,Renewable,NonRenewable,Fossil_Fuel,Clean,Pct_Renew,Pct_Clean,Total_Carbon,Carbon_per_MWh,Carbon_per_kWh
2016-10-28T11:00:00Z,2016-10-28,11:00:00,9311,903.6,299.8,2255.1,313,3757,16839.5,4369.8,12469.7,10214.6,6624.9,25.949701594465395,39.3414293773568,9311550.36,552.9588384453219,0.5529588384453219
2016-10-28T12:00:00Z,2016-10-28,12:00:00,9289.9,865.9,299.8,2255.1,315.8,4195.9,17222.399999999998,4811.5,12410.9,10155.8,7066.6,27.937453548866596,41.03144741731699,9275952.879999999,538.5981558900037,0.5385981558900037
2016-10-28T13:00:00Z,2016-10-28,13:00:00,9281,824.5,299.8,2255.1,301.70000000000005,4634.2,17596.3,5235.7,12360.6,10105.5,7490.799999999999,29.75455067258458,42.57031307718099,9250570.299999999,525.7111040389173,0.5257111040389173
2016-10-28T14:00:00Z,2016-10-28,14:00:00,9178.2,813.9,299.8,2245.4,300.2,5048.1,17885.6,5648.1,12237.5,9992.1,7893.5,31.579035648790093,44.133269222167556,9147510.660000002,511.44555731985525,0.5114455573198553
2016-10-28T15:00:00Z,2016-10-28,15:00:00,9032.3,330.2,299.8,2339.7,315.6,5502.8,17820.4,6118.200000000001,11702.2,9362.5,8457.900000000001,34.33256268097237,47.4618976005028,8810686.7,494.41576507822487,0.4944157650782249
2016-10-28T16:00:00Z,2016-10-28,16:00:00,8892.1,330.1,299.8,2340.9,325.8,5907.4,18096.1,6533,11563.1,9222.2,8873.9,36.1017014715878,49.0376379440874,8675969.92,479.4386591586033,0.4794386591586033
2016-10-28T17:00:00Z,2016-10-28,17:00:00,8783.1,331.1,299.8,2340.9,293.5,6113,18161.4,6706.3,11455.1,9114.2,9047.2,36.9261180305483,49.81554285462575,8571671.120000001,471.9719360842226,0.4719719360842226
2016-10-28T18:00:00Z,2016-10-28,18:00:00,9068.3,344.3,299.8,2340.9,229.8,6130.7,18413.799999999996,6660.3,11753.499999999998,9412.599999999999,9001.2,36.17015499245132,48.88290304011124,8851001.36,480.6721784748396,0.4806721784748396
2016-10-28T19:00:00Z,2016-10-28,19:00:00,9251.9,345.8,299.8,2340.9,206.8,6101.3,18546.499999999996,6607.9000000000005,11938.599999999999,9597.699999999999,8948.800000000001,35.62882484565822,48.25061332326855,9027977.42,486.77526325721846,0.4867752632572185
2016-10-28T20:00:00Z,2016-10-28,20:00:00,9167.8,333.2,299.8,2340.9,206.8,6283.3,18631.8,6789.9000000000005,11841.9,9501,9130.800000000001,36.44253373265063,49.00653721057547,8942067.799999999,479.9357979368606,0.4799357979368606
